English	Swedish	POS	source	row
multiplexing multiplexer multiplexing	multiplexa multiplexor multiplexering	N?	ICT-keywords-20141203.xlsx	2072
multiplication, multiplications	multiplikation, multiplikationen, multiplikationer	N	shorter-gf-termsEngSwe.tsv	1043
multipoint relays	flerpunkt reläer	N?	ICT-keywords-20141203.xlsx	2073
multiprocessing, multiprocessings	multiprocessering, multiprocesseringen, multiprocesseringar	N	shorter-gf-termsEngSwe.tsv	1044
Multiprocessing/multiprogramming/multitasking  	multi.../multiprogrammering/fleruppdragskörning	N?	ACM-klassificering-1998-en-sv.xls	472
multiprocessor system-on-chip		N?	ICT-keywords-20141203.xlsx	2074
multiprocessor, multiprocessors	multiprocessor, multiprocessorn, multiproccesorer	N	shorter-gf-termsEngSwe.tsv	1045
multiprotocol label switching (MPLS)		N?	ICT-keywords-20141203.xlsx	2076
multiprotocol label switching (MPLS) with traffic engineering (MPLS-TE)	MPLS med trafikteknik	N?	ICT-keywords-20141203.xlsx	2077
Multistep and multivalue methods  		N?	ACM-klassificering-1998-en-sv.xls	740
multitasking multi-tasked	"multikörning ""fler uppgift"""	N?	ICT-keywords-20141203.xlsx	2084
multitier	"""flera lager"""	N?	ICT-keywords-20141203.xlsx	2085
Multivariate statistics  		N?	ACM-klassificering-1998-en-sv.xls	786
municipal municipality/municipalities	kommunal kommun/kommuner	N?	ICT-keywords-20141203.xlsx	2087
museums	museer	N?	ICT-keywords-20141203.xlsx	2088
music	musik	N?	ICT-keywords-20141203.xlsx	2089
Music [**] 	Musik [**]	N?	ACM-klassificering-1998-en-sv.xls	1323
mutable	muterbar, muterbart	A	shorter-gf-termsEngSwe.tsv	1046
muting	dämpning	N?	ICT-keywords-20141203.xlsx	2090
Mutual exclusion 	Ömsesidig uteslutning	N?	ACM-klassificering-1998-en-sv.xls	473
myths	myter	N?	ICT-keywords-20141203.xlsx	2091
name names named naming	nämna namn namnges namngivning	N?	ICT-keywords-20141203.xlsx	2092
name, named, named	 namnge, namngav, namngett	V	shorter-gf-termsEngSwe.tsv	1047
namespaces	namnrymder	N?	ICT-keywords-20141203.xlsx	2093
nanotechnology	nanoteknologi	N?	ICT-keywords-20141203.xlsx	2094
nation nations national	nation nationer nationell	N?	ICT-keywords-20141203.xlsx	2095
national	nationell, nationellt	A	shorter-gf-termsEngSwe.tsv	1048
National Marine Electronics Association (NMEA) data		N?	ICT-keywords-20141203.xlsx	2096
nationwide	rikstäckande/landsomfattande	N?	ICT-keywords-20141203.xlsx	2097
native	inhemsk, inhemskt	A	shorter-gf-termsEngSwe.tsv	1049
native app	nativt app	N?	ICT-keywords-20141203.xlsx	2098
native, natives	infödd, infödda, infödda	N	shorter-gf-termsEngSwe.tsv	1050
Natural language  		N?	ACM-klassificering-1998-en-sv.xls	945
Natural language interfaces 	Gränssnitt i naturligt språk	N?	ACM-klassificering-1998-en-sv.xls	1006
Natural Language Processing 	Behandling av naturligt språk	N?	ACM-klassificering-1998-en-sv.xls	1043
nature	natur	N?	ICT-keywords-20141203.xlsx	2099
navigation	navigering	N?	ICT-keywords-20141203.xlsx	2100
Navigation  		N?	ACM-klassificering-1998-en-sv.xls	967
near field communication (NFC)	närfältskommunikation (NFC)	N?	ICT-keywords-20141203.xlsx	2101
near inductive field	nära induktivt fält	N?	ICT-keywords-20141203.xlsx	2102
nearby	i närheten	N?	ICT-keywords-20141203.xlsx	2103
nearly	nästan	N?	ICT-keywords-20141203.xlsx	2104
necessary necessarily	nödvändig nödvändigtvis	N?	ICT-keywords-20141203.xlsx	2105
need needing	behöva behöver	N?	ICT-keywords-20141203.xlsx	2106
needs analysis	behovsanalys	N?	ICT-keywords-20141203.xlsx	2107
negation, negations	negation, negationen, negationer	N	shorter-gf-termsEngSwe.tsv	1051
negative	negativ	N?	ICT-keywords-20141203.xlsx	2108
negative	negativ, negativt	A	shorter-gf-termsEngSwe.tsv	1052
negotiate negotiating negotiation	förhandla förhandlings förhandling	N?	ICT-keywords-20141203.xlsx	2109
neighbor discovery	neighbor upptäckt	N?	ICT-keywords-20141203.xlsx	2111
neighborhood	grannskap	N?	ICT-keywords-20141203.xlsx	2112
neighbor|s neighboring	granne grannar angränsande	N?	ICT-keywords-20141203.xlsx	2110
neither	"varken/""inte heller"""	N?	ICT-keywords-20141203.xlsx	2113
nested	nästlad, nästlat	A	shorter-gf-termsEngSwe.tsv	1053
net based education	nätbaserad utbildning	N?	ICT-keywords-20141203.xlsx	2114
net nets	nät	N?	ICT-keywords-20141203.xlsx	2115
network	nätverk	N?	ICT-keywords-20141203.xlsx	2116
Network Address Translation (NAT)	nätadressöversättning	N?	ICT-keywords-20141203.xlsx	2117
Network Architecture and Design 	Nätarkitektur och design	N?	ACM-klassificering-1998-en-sv.xls	236
network coding	nätverk kodning	N?	ICT-keywords-20141203.xlsx	2119
Network communication 	Nätkommunikation	N?	ACM-klassificering-1998-en-sv.xls	497
Network communications 		N?	ACM-klassificering-1998-en-sv.xls	243
network connectivity	nätverksanslutning	N?	ICT-keywords-20141203.xlsx	2120
Network Database (NDB) cluster		N?	ICT-keywords-20141203.xlsx	2121
network device discovery	nätverksenhetsidentifiering	N?	ICT-keywords-20141203.xlsx	2122
network discovery	nätverksidentifiering	N?	ICT-keywords-20141203.xlsx	2123
network driver	nätverksdrivrutin	N?	ICT-keywords-20141203.xlsx	2124
Network Driver Interface Specification (NDIS)		N?	ICT-keywords-20141203.xlsx	2125
network embedded cloud	nätverk inbäddade moln	N?	ICT-keywords-20141203.xlsx	2126
network enabled cloud		N?	ICT-keywords-20141203.xlsx	2127
network gain	nätverk förstärknings	N?	ICT-keywords-20141203.xlsx	2128
network gaming requirements	nätverk spelkrav	N?	ICT-keywords-20141203.xlsx	2129
network impairments impact on game quality	nätverks nedskrivningar påverkar spelkvaliteten	N?	ICT-keywords-20141203.xlsx	2130
network integrity	nätets integritet	N?	ICT-keywords-20141203.xlsx	2131
network interface controller, network interface controllers	nätverkskort, nätverkskortet, nätverkskort	N	shorter-gf-termsEngSwe.tsv	1055
network management	nätverks konfiguration	N?	ICT-keywords-20141203.xlsx	2132
Network management 	Nätstyrning	N?	ACM-klassificering-1998-en-sv.xls	254
network metrics	nätverk statistik	N?	ICT-keywords-20141203.xlsx	2133
Network monitoring 	Nätövervakning	N?	ACM-klassificering-1998-en-sv.xls	255
network networks networked networking	nätverk	N?	ICT-keywords-20141203.xlsx	2134
Network operating systems 	Nätoperativsystem	N?	ACM-klassificering-1998-en-sv.xls	261
Network Operations 	Nätdrift	N?	ACM-klassificering-1998-en-sv.xls	253
network performance	nätverksprestanda	N?	ICT-keywords-20141203.xlsx	2135
network planning	nätverk planering	N?	ICT-keywords-20141203.xlsx	2136
Network problems 		N?	ACM-klassificering-1998-en-sv.xls	775
network processing	nätverksbearbetning	N?	ICT-keywords-20141203.xlsx	2137
network protocol, network protocols	nätverksprotokoll, nätverksprotokollet, nätverksprotokoll	N	shorter-gf-termsEngSwe.tsv	1056
Network Protocols 	Nätprotokoll	N?	ACM-klassificering-1998-en-sv.xls	248
network security	nätsäkerhet	N?	ICT-keywords-20141203.xlsx	2138
network security and countermeasures	nätsäkerhetsrisker och -åtgärder	N?	ICT-keywords-20141203.xlsx	2139
network security, network securities	nätverksäkerhet, nätverksäkerheten, nätverksäkerheter	N	shorter-gf-termsEngSwe.tsv	1057
network services	nättjänster	N?	ICT-keywords-20141203.xlsx	2140
network simulation	nätverkssimulering	N?	ICT-keywords-20141203.xlsx	2141
network simulator 2- University of Cincinnati Bluetooth (NS2-UCBT) [simulator]		N?	ICT-keywords-20141203.xlsx	2142
Network Time Protocol (NTP)		N?	ICT-keywords-20141203.xlsx	2143
Network topology 	Nättopologi	N?	ACM-klassificering-1998-en-sv.xls	244
network topology discovery	identifiering av nätverkstopologin	N?	ICT-keywords-20141203.xlsx	2144
network, networks	nätverk, nätverket, nätverk	N	shorter-gf-termsEngSwe.tsv	1054
network-aware	nätverksmedvetet	N?	ICT-keywords-20141203.xlsx	2145
network-based	nätverksbaserat	N?	ICT-keywords-20141203.xlsx	2118
network-based malware detection	nätverksbaserad detektering av skadlig kod	N?	ICT-keywords-20141203.xlsx	2146
networked haptics	nätverks haptiker	N?	ICT-keywords-20141203.xlsx	2147
networking	nätverksarbetande	N?	ICT-keywords-20141203.xlsx	2148
neural	neural, neuralt	A	shorter-gf-termsEngSwe.tsv	1058
Neural nets 	Neuronnät	N?	ACM-klassificering-1998-en-sv.xls	222
Neural nets 	Neuronnätsbaserade	N?	ACM-klassificering-1998-en-sv.xls	1216
neural network, neural networks	neuralt nätverk, neurala nätverket, neurala nätverk	N	shorter-gf-termsEngSwe.tsv	1059
neuro-fuzzy hybrid model	neuro-fuzzy hybridmodell	N?	ICT-keywords-20141203.xlsx	2149
neutral	neutrala	N?	ICT-keywords-20141203.xlsx	2150
never	aldrig	N?	ICT-keywords-20141203.xlsx	2151
new news	nyhet nyheter	N?	ICT-keywords-20141203.xlsx	2152
new product development	utveckling av nya produkter	N?	ICT-keywords-20141203.xlsx	2154
newer	nyare	N?	ICT-keywords-20141203.xlsx	2153
news feed	nyhetsflöde	N?	ICT-keywords-20141203.xlsx	2155
news, newses	nyhet, nyheten, nyheter	N	shorter-gf-termsEngSwe.tsv	1060
next	nästa	N?	ICT-keywords-20141203.xlsx	2156
next-generation network (NGN)	nästa generations nätverk	N?	ICT-keywords-20141203.xlsx	2157
niche	nisch	N?	ICT-keywords-20141203.xlsx	2158
nobodies	nollor	N?	ICT-keywords-20141203.xlsx	2159
node nodes	nod noder	N?	ICT-keywords-20141203.xlsx	2160
node, nodes	nod, noden, noder	N	shorter-gf-termsEngSwe.tsv	1061
noise	buller	N?	ICT-keywords-20141203.xlsx	2161
nominal	nominell	N?	ICT-keywords-20141203.xlsx	2162
non-binary	icke-binär	N?	ICT-keywords-20141203.xlsx	2163
non-binary authentication	icke-binär autentisering	N?	ICT-keywords-20141203.xlsx	2164
non-call	icke-samtal	N?	ICT-keywords-20141203.xlsx	2165
non-cellular	icke-cellulär	N?	ICT-keywords-20141203.xlsx	2166
non-ciphered	icke-chiffrerad	N?	ICT-keywords-20141203.xlsx	2167
non-coherent energy detector	icke sammanhängande energidetektor	N?	ICT-keywords-20141203.xlsx	2168
non-delivery	utebliven leverans	N?	ICT-keywords-20141203.xlsx	2170
non-employees	icke-anställda	N?	ICT-keywords-20141203.xlsx	2171
non-geographic	icke-geografiska	N?	ICT-keywords-20141203.xlsx	2172
non-government	Icke-statliga	N?	ICT-keywords-20141203.xlsx	2173
non-home	icke-hem	N?	ICT-keywords-20141203.xlsx	2174
non-idealities	icke-idealities	N?	ICT-keywords-20141203.xlsx	2175
non-interfering	icke-störande	N?	ICT-keywords-20141203.xlsx	2176
Non-Linear Feedback Shift Register (NLFSR) 	Icke-linjära återkopplingsskiftregistret	N?	ICT-keywords-20141203.xlsx	2178
non-linear PLL noise model	olinjär PLL brusmodell	N?	ICT-keywords-20141203.xlsx	2179
non-linear quantization effect	olinjär kvantisering effekt	N?	ICT-keywords-20141203.xlsx	2180
non-local	icke-lokal	N?	ICT-keywords-20141203.xlsx	2177
non-mobile	icke-mobil	N?	ICT-keywords-20141203.xlsx	2182
non-parametric model	icke-parametrisk modell	N?	ICT-keywords-20141203.xlsx	2183
non-radio	icke-radio	N?	ICT-keywords-20141203.xlsx	2185
non-real-time	icke-realtids	N?	ICT-keywords-20141203.xlsx	2186
non-transparent	icke-transparent	N?	ICT-keywords-20141203.xlsx	2187
non-urgent	icke-brådskande	N?	ICT-keywords-20141203.xlsx	2188
non-verbal	icke-verbal	N?	ICT-keywords-20141203.xlsx	2189
non-voice	icke-röst	N?	ICT-keywords-20141203.xlsx	2190
Nonalgebraic algorithms 	Icke-algebraiska algoritmer	N?	ACM-klassificering-1998-en-sv.xls	987
noncooperative receiver	icke kooperativ mottagare	N?	ICT-keywords-20141203.xlsx	2169
nondeterministic	icke-deterministisk, icke-deterministiskt	A	shorter-gf-termsEngSwe.tsv	1062
Nondeterministic languages [**] 	Icke-deterministiska språk [**]	N?	ACM-klassificering-1998-en-sv.xls	431
Nonlinear approximation 		N?	ACM-klassificering-1998-en-sv.xls	688
Nonlinear programming 		N?	ACM-klassificering-1998-en-sv.xls	727
nonlinear-tv	ickelinjär-TV	N?	ICT-keywords-20141203.xlsx	2181
Nonmonotonic reasoning and belief revision 	Icke-monotont resonemang och övertygelseförändring	N?	ACM-klassificering-1998-en-sv.xls	1021
Nonnumerical Algorithms and Problems (E.2, E.3, E.4, E.5, G.2, H.2, H.3) 	Icke-numeriska algoritmer och problem (E.2, E.3, E.4, E.5, G.2, H.2, H.3) 	N?	ACM-klassificering-1998-en-sv.xls	601
Nonparametric statistics  		N?	ACM-klassificering-1998-en-sv.xls	787
nonprioritized	oprioriterade	N?	ICT-keywords-20141203.xlsx	2184
Nonprocedural languages [**] 	Icke-procedurorienterade språk [**]	N?	ACM-klassificering-1998-en-sv.xls	432
Nonprocedural languages [**] 	Icke-procedurorienterade språk [**]	N?	ACM-klassificering-1998-en-sv.xls	990
Nonsecret encoding schemes [**] 	Öppna kodningsscheman [**]	N?	ACM-klassificering-1998-en-sv.xls	560
normal	normal, normalt	A	shorter-gf-termsEngSwe.tsv	1063
normal form, normal forms	normalform, normalformen, normalformer	N	shorter-gf-termsEngSwe.tsv	1064
Normal forms 		N?	ACM-klassificering-1998-en-sv.xls	829
normal normally	normal normalt	N?	ICT-keywords-20141203.xlsx	2191
notation	notation	N?	ICT-keywords-20141203.xlsx	2192
notation, notations	notation, notationen, notationer	N	shorter-gf-termsEngSwe.tsv	1065
note notes noted	anmärkning anmärkningar noterades	N?	ICT-keywords-20141203.xlsx	2193
notice	anmälan	N?	ICT-keywords-20141203.xlsx	2194
notification, notifications	meddelande, meddelandet, meddelanden	N	shorter-gf-termsEngSwe.tsv	1066
notify message	meddela meddelande	N?	ICT-keywords-20141203.xlsx	2195
notify notified notifying	meddela anmälas anmälande	N?	ICT-keywords-20141203.xlsx	2196
null message algorithm (NMA)		N?	ICT-keywords-20141203.xlsx	2197
number numbers numbering	nummer numret numrering	N?	ICT-keywords-20141203.xlsx	2198
number theory, number theories	talteori, talteorien, talteoriar	N	shorter-gf-termsEngSwe.tsv	1069
number, numbered, numbered	 omfatta, omfattade, omfattat	V	shorter-gf-termsEngSwe.tsv	1068
number, numbers	tal, talet, tal	N	shorter-gf-termsEngSwe.tsv	1067
Number-theoretic computations (e.g., factoring, primality testing) 	Talteoretiska beräkningar (t.ex. faktorisering, primtalstestning)	N?	ACM-klassificering-1998-en-sv.xls	600
numeric	numerisk	N?	ICT-keywords-20141203.xlsx	2199
numerical	numerisk, numeriskt	A	shorter-gf-termsEngSwe.tsv	1070
Numerical algorithms 		N?	ACM-klassificering-1998-en-sv.xls	671
Numerical Algorithms and Problems (G.1, G.4, I.1) 	Numeriska algoritmer och problem (G.1, G.4, I.1)	N?	ACM-klassificering-1998-en-sv.xls	595
NUMERICAL ANALYSIS 		N?	ACM-klassificering-1998-en-sv.xls	664
numerical analysis, numerical analyses	numerisk analys, numeriska analysen, numeriska analyser	N	shorter-gf-termsEngSwe.tsv	1071
Numerical Linear Algebra 		N?	ACM-klassificering-1998-en-sv.xls	693
numerical modelling	numerisk modellering	N?	ICT-keywords-20141203.xlsx	2200
numerous	talrika	N?	ICT-keywords-20141203.xlsx	2201
Object hierarchies 	Objekthierarkier	N?	ACM-klassificering-1998-en-sv.xls	1124
Object Management Group (OMG)		N?	ICT-keywords-20141203.xlsx	2203
object oriented CAD	objektorienterad CAD	N?	ICT-keywords-20141203.xlsx	2204
object oriented, object orienteds	objektorientering, objektorienteringen, objektorienteringar	N	shorter-gf-termsEngSwe.tsv	1074
object popularity	objekt popularitet	N?	ICT-keywords-20141203.xlsx	2205
Object recognition  	Objektigenkänning	N?	ACM-klassificering-1998-en-sv.xls	1192
Object representation  	Objektrepresentation	N?	ACM-klassificering-1998-en-sv.xls	549
object, objected, objected	 invända, invände, invänt	V	shorter-gf-termsEngSwe.tsv	1073
object, objects	objekt, objektet, objekt	N	shorter-gf-termsEngSwe.tsv	1072
Object-oriented constructs  		N?	ACM-klassificering-1998-en-sv.xls	630
Object-oriented databases  		N?	ACM-klassificering-1998-en-sv.xls	845
Object-oriented design methods  	Objektorienterade designmetoder/konstruktionsmetoder	N?	ACM-klassificering-1998-en-sv.xls	329
Object-oriented languages 	Objektorienterade språk	N?	ACM-klassificering-1998-en-sv.xls	433
object-oriented program, object-oriented programs	objektorienterat program, objektorienterade programmet, objektorienterade program	N	shorter-gf-termsEngSwe.tsv	1075
Object-oriented Programming 	Objektorienterad programmering	N?	ACM-klassificering-1998-en-sv.xls	310
Object-oriented programming  	Objektorienterad programmering	N?	ACM-klassificering-1998-en-sv.xls	338
object-oriented programming (OOP) 	objektorienterad programmering 	N?	ICT-keywords-20141203.xlsx	2206
object-relational mapping (ORM)	objekt-relationell mappning 	N?	ICT-keywords-20141203.xlsx	2207
objective, objectives	objektiv, objektivet, objektiv	N	shorter-gf-termsEngSwe.tsv	1076
object|s	objektet objekt	N?	ICT-keywords-20141203.xlsx	2202
observation observational	observationen observationell	N?	ICT-keywords-20141203.xlsx	2209
observe observed observing	observera observerad observera	N?	ICT-keywords-20141203.xlsx	2208
observing network	observer nätverk	N?	ICT-keywords-20141203.xlsx	2210
obsolete|s	föråldrad föråldrat	N?	ICT-keywords-20141203.xlsx	2211
obtain obtained	erhålla erhållna	N?	ICT-keywords-20141203.xlsx	2212
obtain, obtained, obtained	 erhålla, erhöll, erhållit	V	shorter-gf-termsEngSwe.tsv	1077
occasionally	ibland	N?	ICT-keywords-20141203.xlsx	2213
occlusion	ocklusion	N?	ICT-keywords-20141203.xlsx	2214
occupancy occupies	beläggning/innehavande ockupera/upptar	N?	ICT-keywords-20141203.xlsx	2215
occupancy sensing	beläggning avkänning	N?	ICT-keywords-20141203.xlsx	2216
Occupations 	Befattningar	N?	ACM-klassificering-1998-en-sv.xls	1449
occur occurs occurred occurring	inträffa inträffar inträffat förekommande	N?	ICT-keywords-20141203.xlsx	2217
octet octets	oktett oktetter	N?	ICT-keywords-20141203.xlsx	2218
off-line	fristående	N?	ICT-keywords-20141203.xlsx	2223
off-the-shelf	färdig	N?	ICT-keywords-20141203.xlsx	2227
offer offers offered offering offerings	erbjudandet erbjuder erbjuds erbjuder offer	N?	ICT-keywords-20141203.xlsx	2219
Office automation 	Kontorsautomation	N?	ACM-klassificering-1998-en-sv.xls	1007
Office Automation (I.7) 		N?	ACM-klassificering-1998-en-sv.xls	909
office offices	kontor kontoret	N?	ICT-keywords-20141203.xlsx	2220
officer, officers	officer, officern, officerer	N	shorter-gf-termsEngSwe.tsv	1078
officers	kommenderar	N?	ICT-keywords-20141203.xlsx	2221
official officially	officiell officiellt	N?	ICT-keywords-20141203.xlsx	2222
offline physical access control	offline passersystem	N?	ICT-keywords-20141203.xlsx	2224
offload	avlasta	N?	ICT-keywords-20141203.xlsx	2225
offset	förskjutning	N?	ICT-keywords-20141203.xlsx	2226
often	ofta	N?	ICT-keywords-20141203.xlsx	2228
old	gammal, gammalt	A	shorter-gf-termsEngSwe.tsv	1079
older	äldre	N?	ICT-keywords-20141203.xlsx	2229
older people	äldre	N?	ICT-keywords-20141203.xlsx	2230
omniscient	allvetande	N?	ICT-keywords-20141203.xlsx	2231
on-board diagnostic-II (OBD-II)		N?	ICT-keywords-20141203.xlsx	2232
on-demand television	TV på begäran	N?	ICT-keywords-20141203.xlsx	2233
on-off	på-av	N?	ICT-keywords-20141203.xlsx	2244
one-call	en-samtal	N?	ICT-keywords-20141203.xlsx	2234
one-pole	en-polig	N?	ICT-keywords-20141203.xlsx	2235
One-step (single step) methods  		N?	ACM-klassificering-1998-en-sv.xls	741
one-time	engångs	N?	ICT-keywords-20141203.xlsx	2236
one-time password	engångslösenord	N?	ICT-keywords-20141203.xlsx	2237
one-way	en-sätt	N?	ICT-keywords-20141203.xlsx	2238
ongoing on-going	pågående	N?	ICT-keywords-20141203.xlsx	2239
Online computation  	Databehandling online	N?	ACM-klassificering-1998-en-sv.xls	581
online gaming	onlinespel	N?	ICT-keywords-20141203.xlsx	2241
Online Information Services 		N?	ACM-klassificering-1998-en-sv.xls	894
online on-line	på nätet	N?	ICT-keywords-20141203.xlsx	2240
online social networks	online sociala nätverk	N?	ICT-keywords-20141203.xlsx	2242
online storage	lagring online	N?	ICT-keywords-20141203.xlsx	2243
onscreen on-screen	på skärmen	N?	ICT-keywords-20141203.xlsx	2245
ontology/ontologies	ontologi/ontologier	N?	ICT-keywords-20141203.xlsx	2246
opaque link-state advertisement (LSA)	ogenomskinlig länk-stat annons	N?	ICT-keywords-20141203.xlsx	2247
open	öppen, öppet	A	shorter-gf-termsEngSwe.tsv	1080
open access	fri tillgänglighet/öppen tillgång	N?	ICT-keywords-20141203.xlsx	2248
open access fiber network	öppen access fibernät	N?	ICT-keywords-20141203.xlsx	2249
Open Base Station Architecture Initiative (OBSAI)		N?	ICT-keywords-20141203.xlsx	2251
open multimedia platform	öppen multimedia plattform	N?	ICT-keywords-20141203.xlsx	2252
open shortest path first (OSPF) 	öppen kortaste vägen först 	N?	ICT-keywords-20141203.xlsx	2253
Open Systems Interconnection reference model (OSI) 	OSI referensmodell	N?	ACM-klassificering-1998-en-sv.xls	234
open Wireless Network Simulator (openWNS)	öppna trådlöst nätverk simulatorn (openWNS)	N?	ICT-keywords-20141203.xlsx	2254
open-architecture	öppen arkitektur	N?	ICT-keywords-20141203.xlsx	2250
OpenSocial API (OSAPI)		N?	ICT-keywords-20141203.xlsx	2255
operate, operated, operated	 operera, opererade, opererat	V	shorter-gf-termsEngSwe.tsv	1081
operating system (OS)	operativsystem	N?	ICT-keywords-20141203.xlsx	2256
operating system, operating systems	operativsystem, operativsystemet, operativsystem	N	shorter-gf-termsEngSwe.tsv	1082
OPERATING SYSTEMS (C) 	OPERATIVSYSTEM (C)	N?	ACM-klassificering-1998-en-sv.xls	467
operation operating operates operate operated operational operator operators operations 	operation rörelse verksamt driva drivs operativa  operatör operatörers operationer	N?	ICT-keywords-20141203.xlsx	2257
operation, operations	verksamhet, verksamheten, verksamheter	N	shorter-gf-termsEngSwe.tsv	1083
Operational analysis 	Operationsanalys	N?	ACM-klassificering-1998-en-sv.xls	522
Operational semantics 	Operationell semantik	N?	ACM-klassificering-1998-en-sv.xls	623
operational strategy	operativ strategi	N?	ICT-keywords-20141203.xlsx	2258
Operations on languages 	Operationer på språk	N?	ACM-klassificering-1998-en-sv.xls	659
operator differentiation	operatör differentiering	N?	ICT-keywords-20141203.xlsx	2259
Operator interfaces  	Operatörsgränssnitt	N?	ACM-klassificering-1998-en-sv.xls	1064
operator strategies	operatörsstrategier	N?	ICT-keywords-20141203.xlsx	2260
operator, operators	operator, operatorn, operatorer	N	shorter-gf-termsEngSwe.tsv	1084
operator-hosted	operatörs värd	N?	ICT-keywords-20141203.xlsx	2261
opportunistic opportunistically	opportunistisk opportunist	N?	ICT-keywords-20141203.xlsx	2262
opportunity	tillfälle/möjlighet	N?	ICT-keywords-20141203.xlsx	2263
opposed	motsatte	N?	ICT-keywords-20141203.xlsx	2264
opposite	motsatt	N?	ICT-keywords-20141203.xlsx	2265
optical	optisk	N?	ICT-keywords-20141203.xlsx	2266
optical	optisk, optiskt	A	shorter-gf-termsEngSwe.tsv	1085
optical access network	optiska accessnät	N?	ICT-keywords-20141203.xlsx	2267
Optical Access Networking using OFDM Tones (OTONES)	Optisk Tillgång Nätverk med hjälp av OFDM Tones	N?	ICT-keywords-20141203.xlsx	2268
Optical character recognition (OCR)  	Optisk teckenigenkänning (OCR)	N?	ACM-klassificering-1998-en-sv.xls	1283
optical constraints	optiska begränsningar	N?	ICT-keywords-20141203.xlsx	2269
optical disc, optical discs	optisk skiva, optiska skivan, optiska skivor	N	shorter-gf-termsEngSwe.tsv	1086
optical fiber, optical fibers	fiberoptik, fiberoptiken, fiberoptikar	N	shorter-gf-termsEngSwe.tsv	1087
Optical High Speed Lines (OHSL)		N?	ICT-keywords-20141203.xlsx	2270
optical impairments	optiska nedsättningar	N?	ICT-keywords-20141203.xlsx	2271
optical line terminal (OLT)	optisk linjeterminal 	N?	ICT-keywords-20141203.xlsx	2272
optical microcavities	optiska mikrokaviteter	N?	ICT-keywords-20141203.xlsx	2273
optical network unit (ONU)	optisk nätverksenhet	N?	ICT-keywords-20141203.xlsx	2274
optical time domain reflectometer	optisk tidsdomänreflektometer	N?	ICT-keywords-20141203.xlsx	2275
optical time domain reflectometry (OTDR)	optisk tidsdomänen reflektometri	N?	ICT-keywords-20141203.xlsx	2276
optics	optik	N?	ICT-keywords-20141203.xlsx	2277
optima optimal optimally	optima optimala optimalt	N?	ICT-keywords-20141203.xlsx	2278
optimal	optimal, optimalt	A	shorter-gf-termsEngSwe.tsv	1088
Optimization 	Optimering	N?	ACM-klassificering-1998-en-sv.xls	125
Optimization 	Optimering	N?	ACM-klassificering-1998-en-sv.xls	154
Optimization 	Optimering	N?	ACM-klassificering-1998-en-sv.xls	30
Optimization 	Optimering	N?	ACM-klassificering-1998-en-sv.xls	460
Optimization 	Optimering	N?	ACM-klassificering-1998-en-sv.xls	719
Optimization [**] 	Optimering [**]	N?	ACM-klassificering-1998-en-sv.xls	563
optimization, optimizations	optimering, optimeringen, optimeringar	N	shorter-gf-termsEngSwe.tsv	1089
optimize optimized optimization optimizing	optimera optimerat optimerings optimerings	N?	ICT-keywords-20141203.xlsx	2279
optimize, optimized, optimized	 optimera, optimerade, optimerat	V	shorter-gf-termsEngSwe.tsv	1090
option options optional optionally	tillval alternativ valfri valfritt	N?	ICT-keywords-20141203.xlsx	2280
oral orally	muntlig muntliga	N?	ICT-keywords-20141203.xlsx	2281
order orders ordered	beställ/ordningens beställningar beställda/ordnade	N?	ICT-keywords-20141203.xlsx	2282
order, ordered, ordered	 beställa, beställde, beställt	V	shorter-gf-termsEngSwe.tsv	1092
order, orders	ordning, ordningen, ordningar	N	shorter-gf-termsEngSwe.tsv	1091
Ordinary Differential Equations 		N?	ACM-klassificering-1998-en-sv.xls	732
organic	organisk, organiskt	A	shorter-gf-termsEngSwe.tsv	1093
Organization and Design 	Organisation och design	N?	ACM-klassificering-1998-en-sv.xls	512
organization, organizations	organisation, organisationen, organisationer	N	shorter-gf-termsEngSwe.tsv	1094
Organization/structure 	Organisation och struktur	N?	ACM-klassificering-1998-en-sv.xls	564
organizational culture	organisatorisk kultur	N?	ICT-keywords-20141203.xlsx	2284
organizational design	organisatorisk design	N?	ICT-keywords-20141203.xlsx	2285
Organizational design 		N?	ACM-klassificering-1998-en-sv.xls	961
Organizational Impacts 	Påverkan på organisationen	N?	ACM-klassificering-1998-en-sv.xls	1384
organizational learning (OL)	organisatoriskt lärande	N?	ICT-keywords-20141203.xlsx	2286
organizational story	organisatorisk berättelse	N?	ICT-keywords-20141203.xlsx	2287
Organizations 	Organisationer	N?	ACM-klassificering-1998-en-sv.xls	1450
organize organized organizing organization	organisera organiserade organisering organisation	N?	ICT-keywords-20141203.xlsx	2283
orient, oriented, oriented	 orientera, orienterade, orienterat	V	shorter-gf-termsEngSwe.tsv	1095
origin origins originally originates original originate  originator originating originated	Ursprungs ursprung härstammar ursprungligen ursprungliga härröra originator ursprung härstammar	N?	ICT-keywords-20141203.xlsx	2288
original	ursprunglig, ursprungligt	A	shorter-gf-termsEngSwe.tsv	1096
original, originals	original, originalet, original	N	shorter-gf-termsEngSwe.tsv	1097
orthogonal	ortogonal, ortogonalt	A	shorter-gf-termsEngSwe.tsv	1098
orthogonal	ortogonala	N?	ICT-keywords-20141203.xlsx	2289
orthogonal frequency division multiplexing (OFDM)	ortogonal frekvensdelningsmultiplex	N?	ICT-keywords-20141203.xlsx	2290
